symbol,as_of_date,roe,revenue_growth,eps,debt_to_equity,pe,pb,gross_margin,operating_margin
2330.TW,2020-05-15,0.21,0.03,13.32,0.39,22.0,4.6,0.46,0.37
2330.TW,2021-05-15,0.29,0.25,19.97,0.42,26.0,7.2,0.52,0.41
2330.TW,2022-05-15,0.28,0.18,32.34,0.36,18.5,4.8,0.52,0.42
2330.TW,2023-05-15,0.27,-0.04,39.20,0.31,16.5,4.2,0.54,0.44
2330.TW,2024-05-15,0.26,0.09,32.36,0.28,22.0,5.5,0.53,0.42
2454.TW,2020-05-15,0.16,0.02,22.10,0.45,18.0,3.0,0.42,0.18
2454.TW,2021-05-15,0.24,0.54,70.56,0.51,20.0,5.2,0.47,0.26
2454.TW,2022-05-15,0.25,0.32,70.48,0.48,13.0,3.4,0.49,0.27
2454.TW,2023-05-15,0.18,-0.12,54.59,0.43,15.0,2.7,0.47,0.21
2454.TW,2024-05-15,0.20,0.14,48.00,0.40,18.0,3.5,0.48,0.23
2308.TW,2020-05-15,0.17,0.07,9.42,0.73,20.0,3.1,0.27,0.10
2308.TW,2021-05-15,0.19,0.11,10.42,0.69,24.0,4.0,0.29,0.11
2308.TW,2022-05-15,0.20,0.08,12.64,0.66,22.0,4.1,0.30,0.12
2308.TW,2023-05-15,0.24,0.19,15.53,0.62,23.0,5.0,0.31,0.13
2308.TW,2024-05-15,0.25,0.16,18.00,0.58,24.0,5.6,0.32,0.14
2317.TW,2020-05-15,0.08,-0.01,8.03,0.82,12.0,1.0,0.06,0.02
2317.TW,2021-05-15,0.09,0.09,10.05,0.78,11.0,1.1,0.06,0.02
2317.TW,2022-05-15,0.10,0.11,10.31,0.74,10.0,1.0,0.06,0.02
2317.TW,2023-05-15,0.09,-0.03,10.21,0.70,10.5,0.9,0.06,0.02
2317.TW,2024-05-15,0.10,0.06,10.80,0.68,12.0,1.2,0.06,0.02
